address,kept_as,retrieved_on,content_type,bytes,sha256
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/25503.aspx,bill-pages/parliament-archive2021-bill-25503_retrieved-2026-09-18.html,2026-09-18,text/html,60090,cc454a5b678f75fe94838db954e628a61bac8a734ae05e3cf417e2d9d1436e07
https://webarchive.nrscotland.gov.uk/public/+/archive2021.parliament.scot/parliamentarybusiness/Bills/69042.aspx,bill-pages/parliament-archive2021-bill-69042_retrieved-2026-09-18.html,2026-09-18,text/html,66451,13cb03da8d2f0de05ad3445a2fffd68ac61f60d88531d2e198afcbcebf68f263
https://webarchive.nrscotland.gov.uk/public/+/http://archive2021.parliament.scot/parliamentarybusiness/Bills/24953.aspx,bill-pages/parliament-archive2021-bill-24953_retrieved-2026-09-18.html,2026-09-18,text/html,60097,ad228c38a5afd6dcaf6917a87770058b1fffd6b3bd779d414c177b899bd42a50
https://webarchive.nrscotland.gov.uk/public/+/http://archive2021.parliament.scot/parliamentarybusiness/Bills/25259.aspx,bill-pages/parliament-archive2021-bill-25259_retrieved-2026-09-18.html,2026-09-18,text/html,63478,ec4cf03d5773aaa16772292642c23ece96a048442260452cdcd72af16995b2c7
https://www.legislation.gov.uk/asp/2000/4/introduction,legislation/legislation-asp-2000-4-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,32990,c0dc7cb46ad5f9d8c61132ea5384de3dec998febf2d28b2563725c0fd7f6df20
https://www.legislation.gov.uk/asp/2001/14/introduction,legislation/legislation-asp-2001-14-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,29505,fea6d43b6e8cbdb27f841006b37d69b34b85da53405959e34c2e4dae954b0b67
https://www.legislation.gov.uk/asp/2001/2/introduction,legislation/legislation-asp-2001-2-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,33650,0a6d23734f92f8330a5d9be58804865739099bb56b86aff1355b1a7bf4134e66
https://www.legislation.gov.uk/asp/2002/1/introduction,legislation/legislation-asp-2002-1-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,30160,c47e1e99ab1a42adc1c7c57ec67be37eb96e9a59571ca9900fe5b42434354a2f
https://www.legislation.gov.uk/asp/2002/2/introduction,legislation/legislation-asp-2002-2-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,29594,c2550c1475ca67e7d017d3ff857ee2822ab913db9c55c8013dd3eba4e13f2112
https://www.legislation.gov.uk/asp/2006/15/introduction,legislation/legislation-asp-2006-15-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,29429,e3fe58dbc97e489affa409db763cfdcdfa0355ce9f51291bbbde5fc083ef1a6a
https://www.legislation.gov.uk/asp/2007/18/pdfs/asp_20070018_en.pdf,legislation/legislation-asp-2007-18-pdfs-asp-20070018-en-pdf_retrieved-2026-09-18.pdf,2026-09-18,application/pdf,43670,771efaf509a8de1984087593aa6a697dc3a8fc2fc0ce36445abbb48677530584
https://www.legislation.gov.uk/asp/2007/8/introduction,legislation/legislation-asp-2007-8-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,31831,faae7d2e6e5a9f69466648a4f0062d6c98c8145d20bb21a2bef2726b6617723e
https://www.legislation.gov.uk/asp/2011/15/introduction,legislation/legislation-asp-2011-15-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,30076,6b94eea829216e5f94a963c4b27461a798f954f62689eb18988640ac4b7a757b
https://www.legislation.gov.uk/asp/2011/16/introduction,legislation/legislation-asp-2011-16-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,30431,50206c59f40e80b0799d418c4cd8bed90d6b10eda91b3a2f89ece5ae89e02dc1
https://www.legislation.gov.uk/asp/2016/15/contents,legislation/legislation-asp-2016-15-contents_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,36602,7d1b8079fb97208aac380bb39fc0040cbc9548d7bea2b053fe44e307ef4c997c
